#{"t_start": 1658422774.1500745, "env_id": "A1GymEnv-v1"}
r,l,t
-1290.0,41,475.312855
-1224.0,29,475.405695
-1176.0,33,475.504303
-1208.0,42,475.631293
-1246.0,33,475.732783
-1248.0,37,475.846328
-1104.0,19,475.908728
-1226.0,38,476.039959
-1284.0,39,476.163044
-1224.0,29,476.253766
-1240.0,36,476.363718
-1352.0,45,476.503427
-1348.0,47,476.65062
-1174.0,29,476.741764
-1318.0,47,476.894891
-1086.0,13,476.936014
-1310.0,46,477.092167
-1358.0,47,477.241779
-1270.0,36,477.354731
-1248.0,32,477.456058
-1160.0,21,477.5196
-1144.0,19,477.577397
-1210.0,31,477.670914
-1572.0,75,477.920575
-1448.0,87,478.201646
-1230.0,46,478.344988
-1068.0,17,478.399112
-1260.0,36,478.514227
-1468.0,67,478.727374
-1174.0,24,478.807677
-1314.0,49,478.973241
-1414.0,54,479.156576
-1364.0,49,479.316854
-1240.0,41,479.443875
-1190.0,26,479.527771
-1198.0,27,479.62081
-1256.0,98,479.942146
-1506.0,68,480.167936
-1160.0,21,480.233818
-1240.0,31,480.329942
-1292.0,40,480.455358
-1530.0,121,480.837567
-1276.0,38,480.955097
-1184.0,29,481.044564
-1198.0,27,481.155896
-1276.0,38,482.242196
-1310.0,46,482.395875
-1172.0,25,482.478559
-1508.0,72,482.698102
-1254.0,34,482.811872
-1238.0,32,482.91777
-1222.0,30,483.011472
-1116.0,18,483.06718
-1128.0,17,483.123891
-1408.0,57,483.310617
-1376.0,48,483.45989
-1356.0,48,483.61211
-1264.0,34,483.720321
-1286.0,43,483.860374
-1398.0,62,484.049839
-1424.0,54,484.223563
-1246.0,33,484.323079
-1210.0,31,484.419632
-1330.0,51,484.576032
-1206.0,28,484.662373
-1170.0,26,484.742558
-1350.0,46,484.889414
-1714.0,99,485.210326
-1112.0,15,485.269047
-1834.0,119,485.646134
-1342.0,45,485.808042
-1416.0,53,485.975024
-1236.0,38,486.096878
-1388.0,52,486.279998
-1152.0,25,486.359523
-1634.0,104,486.68782
-1650.0,86,486.975015
-1312.0,40,487.106208
-1984.0,124,487.51115
-1234.0,34,487.620944
-1046.0,8,487.650147
-1208.0,27,487.739025
-1740.0,116,488.099206
-1164.0,24,488.176031
-1088.0,12,488.213263
-1484.0,64,488.420481
-1112.0,20,488.481855
-1500.0,66,488.702543
-1176.0,23,489.74542
-1206.0,28,489.845389
-1224.0,39,489.969838
-1814.0,114,490.33755
-1516.0,68,490.556602
-1284.0,39,490.684911
-1302.0,40,490.816952
-1200.0,31,490.918512
-1392.0,55,491.094199
-1274.0,39,491.219309
-1476.0,88,491.500211
-1112.0,15,491.546899
-1282.0,40,491.685339
-1282.0,40,491.810887
-1204.0,29,491.906911
-1258.0,47,492.05595
-1164.0,29,492.150914
-1408.0,57,492.333591
-1212.0,30,492.435099
-1388.0,122,492.872424
-1142.0,20,492.941406
-1240.0,51,493.129794
-1124.0,19,493.203394
-1100.0,16,493.257637
-1080.0,11,493.293062
-1454.0,64,493.514824
-1252.0,35,493.634223
-1268.0,37,493.761226
-1352.0,45,493.910856
-1504.0,84,494.177384
-1420.0,61,494.36224
-1310.0,46,494.515498
-1396.0,53,494.68151
-1184.0,44,494.829691
-1218.0,32,494.935366
-1842.0,110,495.279759
-1304.0,39,495.410519
-1176.0,23,495.48296
-1170.0,26,495.564384
-1294.0,39,495.688245
-1264.0,34,495.798896
-1692.0,90,496.093203
-1434.0,64,496.289476
-1192.0,25,496.36537
-1316.0,43,497.499688
-1236.0,33,497.600137
-1278.0,37,497.71745
-1930.0,131,498.124438
-1294.0,39,498.244897
-1350.0,46,498.385371
-1086.0,13,498.424479
-1562.0,75,498.668952
-1184.0,29,498.759758
-1268.0,37,498.879201
-1408.0,52,499.045382
-1062.0,10,499.076468
-1316.0,43,499.213325
-1424.0,59,499.395857
-1230.0,36,499.517066
-1578.0,92,499.808958
-1608.0,82,500.064746
-1224.0,34,500.17396
-1944.0,119,500.567835
-1310.0,46,500.71602
-1730.0,96,501.026633
-1604.0,99,501.345672
-2074.0,139,501.807945
-1340.0,51,501.969529
-1642.0,85,502.240515
-1358.0,47,502.386382
-1270.0,36,502.511077
-1316.0,53,502.705314
-1118.0,17,502.764346
-1166.0,23,502.840093
-1174.0,29,502.936492
-1122.0,20,503.001228
-1198.0,27,503.093621
-1258.0,42,503.238996
-1222.0,30,503.334263
-1318.0,42,503.46593
-1088.0,12,503.518762
-1244.0,34,503.638494
-1168.0,22,503.708869
-1506.0,68,503.936414
-1282.0,45,505.066578
-1254.0,34,505.179713
-1132.0,20,505.243701
-1830.0,156,505.743201
-1318.0,47,505.901674
-1382.0,55,506.07526
-1332.0,65,506.290543
-1224.0,34,506.398167
-1368.0,47,506.552183
-1608.0,87,506.854904
-1442.0,60,507.075068
-1376.0,58,507.282297
-1286.0,43,507.425838
-1264.0,54,507.60691
-1046.0,8,507.633167
-1290.0,41,507.774711
-1408.0,62,507.993397
-1102.0,15,508.041009
-1376.0,63,508.243882
-1334.0,54,508.422769
-2216.0,178,509.01726
-1166.0,23,509.099724
-1402.0,55,509.28135
-1210.0,31,509.38006
-1174.0,24,509.45641
-1826.0,118,509.86744
-1334.0,44,510.017749
-1664.0,94,510.319781
-1294.0,49,510.476599
-1268.0,37,510.59512
-1286.0,43,510.747638
-1284.0,49,510.929674
-1970.0,141,511.40761
-1218.0,37,511.532507
-1370.0,51,511.702283
-1158.0,22,511.787863
-1310.0,41,511.932294
-1434.0,59,513.144843
-1196.0,33,513.256829
-1216.0,33,513.360768
-1352.0,50,513.525541
-1116.0,18,513.585349
-1240.0,36,513.70753
-1946.0,123,514.128877
-1150.0,26,514.213682
-1316.0,43,514.34985
-1242.0,45,514.4939
-1188.0,37,514.611707
-1204.0,29,514.707236
-1292.0,40,514.84942
-1788.0,102,515.178192
-1226.0,33,515.283803
-1286.0,43,515.424471
-1436.0,58,515.62684
-1260.0,36,515.745926
-2018.0,142,516.204757
-1214.0,29,516.301851
-1254.0,34,516.411718
-1264.0,34,516.525439
-1408.0,52,516.694214
-1296.0,38,516.823837
-1372.0,50,517.000118
-1160.0,31,517.098169
-1266.0,38,517.223671
-1528.0,67,517.440786
-1230.0,31,517.540158
-1272.0,35,517.673229
-1346.0,48,517.832034
-1206.0,38,517.966051
-1272.0,40,518.092719
-1934.0,119,518.463313
-1124.0,19,518.522668
-1302.0,40,518.657923
-1194.0,29,518.758155
-1510.0,66,519.009311
-1172.0,35,519.135957
-1290.0,41,519.27838
-1174.0,29,519.372934
-1238.0,37,519.491693
-1390.0,51,519.669528
-1300.0,41,520.795855
-1578.0,77,521.053951
-2080.0,146,521.512626
-1590.0,81,521.770771
-1116.0,18,521.829065
-1286.0,38,521.967274
-1514.0,89,522.271247
-1132.0,20,522.33518
-1322.0,45,522.479931
-1994.0,149,523.004182
-1790.0,101,523.341738
-1430.0,91,523.63056
-1644.0,89,523.922388
-1532.0,70,524.163698
-1364.0,49,524.315965
-1368.0,52,524.481949
-1458.0,72,524.714325
-1346.0,48,524.872807
-1238.0,32,524.972743
-1186.0,28,525.067555
-1434.0,59,525.264305
-1256.0,38,525.387145
-1314.0,54,525.554433
-1266.0,38,525.674001
-1158.0,22,525.745234
-1272.0,35,525.855248
-1256.0,33,525.963212
-1214.0,79,526.222405
-1326.0,43,526.353681
-1152.0,20,526.417152
-1478.0,62,526.639177
-1580.0,81,526.90814
-1286.0,38,527.029267
-1512.0,70,527.263566
-1290.0,41,527.404862
-1568.0,87,528.70247
-1438.0,57,528.887494
-1224.0,39,529.012224
-1218.0,32,529.123176
-2852.0,240,529.875036
-1656.0,88,530.158593
-1284.0,44,530.291814
-1806.0,128,530.68452
-1390.0,51,530.861788
-1406.0,53,531.035106
-1632.0,95,531.344486
-1348.0,57,531.529163
-1252.0,45,531.672783
-1616.0,78,531.926988
-1496.0,93,532.238073
-1566.0,83,532.502582
-1846.0,128,532.928903
-1670.0,86,533.213315
-1294.0,39,533.333036
-1188.0,27,533.417069
-1174.0,24,533.494923
-1432.0,55,533.664041
-1380.0,56,533.841023
-1080.0,11,533.877403
-1432.0,60,534.075944
-1356.0,58,534.268173
-1478.0,67,534.478274
-1414.0,54,534.647051
-1096.0,23,534.724076
-1340.0,46,534.868565
-1122.0,20,534.934659
-1774.0,99,536.257192
-1332.0,45,536.408542
-1280.0,56,536.592131
-1586.0,88,536.889549
-1640.0,101,537.238732
-2558.0,202,537.899891
-1342.0,45,538.040823
-1204.0,29,538.135835
-1468.0,62,538.36236
-1650.0,86,538.640568
-1732.0,105,539.001486
-1584.0,109,539.370365
-1250.0,41,539.505616
-3078.0,262,540.416376
-1524.0,69,540.639754
-2096.0,148,541.128826
-1254.0,39,541.256368
-1736.0,128,541.695707
-1388.0,67,541.916557
-1468.0,62,542.120863
-1254.0,34,542.237482
-1132.0,20,542.304981
-1536.0,68,542.539743
-1256.0,33,542.649488
-1584.0,74,542.8976
-1248.0,32,543.006768
-1230.0,31,544.092478
-1240.0,51,544.26367
-1758.0,97,544.580919
-1358.0,47,544.730968
-1282.0,40,544.862365
-1404.0,64,545.067832
-1270.0,41,545.200208
-1556.0,78,545.45696
-1228.0,42,545.591868
-1356.0,53,545.762418
-1944.0,124,546.181307
-1418.0,57,546.362875
-1246.0,38,546.493717
-1266.0,73,546.733898
-1244.0,39,546.86738
-1912.0,125,547.282762
-1330.0,56,547.476478
-1770.0,111,547.865987
-1256.0,38,547.994802
-1368.0,62,548.199672
-1334.0,44,548.336081
-1284.0,39,548.455419
-1590.0,96,548.77087
-1926.0,118,549.155684
-1270.0,41,549.30034
-1714.0,99,549.642437
-1404.0,54,549.818571
-1386.0,63,550.013313
-1066.0,162,550.529674
-1432.0,60,550.729617
-1638.0,82,551.96793
-1358.0,47,552.130723
-1192.0,30,552.229936
-1688.0,92,552.522494
-1216.0,33,552.634715
-1400.0,56,552.812109
-1912.0,165,553.330993
-1160.0,26,553.414674
-1398.0,62,553.634707
-1312.0,40,553.759887
-1166.0,23,553.831335
-1670.0,121,554.204227
-1210.0,31,554.297843
-1268.0,37,554.413678
-1416.0,83,554.68213
-1224.0,29,554.775881
-1996.0,138,555.203772
-1304.0,39,555.323678
-1222.0,35,555.431929
-1328.0,57,555.609342
-1708.0,92,555.903034
-1576.0,78,556.14318
-1288.0,47,556.285256
-1208.0,32,556.381411
-1190.0,26,556.461818
-1646.0,93,556.773166
-1184.0,24,556.847573
-1226.0,38,556.970208
-1262.0,35,557.081879
-1828.0,117,557.468706
-1336.0,53,557.633874
-1194.0,29,557.765144
-1324.0,132,558.444375
-1342.0,45,560.28125
-1490.0,66,560.622155
-1272.0,40,560.833759
-1374.0,59,561.160484
-1794.0,119,561.678318
-1708.0,97,562.012295
-1422.0,70,562.234914
-1202.0,30,562.327833
-1434.0,59,562.533679
-1650.0,86,562.835812
-1260.0,36,562.962501
-1216.0,33,563.073009
-1366.0,58,563.25828
-1128.0,27,563.341208
-1310.0,41,563.472861
-1160.0,21,563.540261
-1418.0,67,563.752531
-1206.0,28,563.839145
-1220.0,41,563.983091
-1310.0,41,564.109425
-1514.0,69,564.329116
-1520.0,116,564.694938
-1360.0,51,564.860073
-1400.0,51,565.028919
-1248.0,32,565.127256
-2516.0,223,565.842144
-1690.0,106,566.186429
-1624.0,109,566.521554
-1202.0,35,566.634934
-1230.0,46,566.776552
-1348.0,47,566.933318
-1244.0,34,567.060366
-1660.0,96,567.365384
-1558.0,72,568.567096
-1532.0,75,568.800637
-1802.0,105,569.136358
-1434.0,74,569.362441
-1694.0,109,569.701189
-1200.0,36,569.82918
-1530.0,71,570.071329
-1616.0,118,570.458854
-1550.0,76,570.697967
-2650.0,221,571.403348
-1300.0,96,571.724605
-1848.0,187,572.324716
-1144.0,24,572.399155
-1604.0,84,572.669048
-1212.0,40,572.794436
-1298.0,47,572.942095
-1242.0,35,573.068591
-1766.0,98,573.380735
-2094.0,144,573.837693
-1160.0,26,573.920826
-1230.0,41,574.045141
-2978.0,277,575.881354
-1376.0,63,576.081608
-1618.0,97,576.392987
-1514.0,74,576.623711
-1852.0,125,577.027929
-2128.0,142,577.496723
-1866.0,118,577.87054
-1292.0,40,577.995109
-1432.0,55,578.168853
-2008.0,162,578.675762
-1264.0,34,578.782606
-1132.0,20,578.84445
-1286.0,38,578.96186
-1360.0,66,579.164139
-1364.0,54,579.336727
-1220.0,36,579.448682
-1214.0,34,579.551208
-1416.0,53,579.715892
-1468.0,62,579.915174
-1212.0,35,580.024246
-1374.0,49,580.180566
-1414.0,54,580.378676
-2342.0,175,580.940109
-2522.0,200,581.595062
-1222.0,30,581.687382
-2292.0,185,582.275651
-1512.0,80,583.512297
-2246.0,188,584.155678
-1468.0,62,584.385508
-3100.0,271,585.270752
-1278.0,37,585.398795
-1276.0,38,585.516181
-2332.0,170,586.055857
-1406.0,53,586.22299
-1252.0,35,586.328978
-1238.0,37,586.452218
-1816.0,108,586.793209
-1546.0,73,587.029652
-1376.0,53,587.193533
-1286.0,43,587.324945
-1214.0,29,587.42812
-1306.0,43,587.572673
-1510.0,66,587.790795
-1696.0,88,588.095555
-1626.0,183,588.697083
-1334.0,49,588.859119
-1592.0,100,589.193117
-1356.0,48,589.341795
-1094.0,14,589.385398
-1344.0,44,589.533076
-1276.0,38,589.654314
-1332.0,50,589.817179
-1816.0,128,591.212302
-1588.0,117,591.619117
-1408.0,57,591.803299
-1394.0,79,592.066469
-2476.0,223,592.808957
-3180.0,281,593.720515
-1298.0,47,593.868904
-1138.0,32,593.968099
-1314.0,49,594.119289
-1238.0,32,594.219861
-1498.0,97,594.517013
-1360.0,61,594.720911
-1262.0,40,594.852263
-1282.0,75,595.090476
-1288.0,37,595.206371
-1276.0,38,595.321512
-1428.0,57,595.517694
-1264.0,34,595.632138
-1648.0,82,595.892244
-2550.0,201,596.518489
-1296.0,38,596.653861
-1802.0,105,596.992234
-2230.0,186,597.605828
-1440.0,66,598.834085
-1540.0,91,599.124308
-2340.0,181,599.727388
-1222.0,40,599.861031
-1320.0,51,600.029291
-1326.0,43,600.170258
-1798.0,107,600.501249
-1302.0,40,600.627577
-1400.0,51,600.796298
-1148.0,22,600.865627
-1224.0,34,600.97535
-1350.0,46,601.119681
-1252.0,35,601.233384
-1196.0,28,601.319795
-1244.0,44,601.460608
-1316.0,43,601.598781
-1312.0,40,601.736649
-1326.0,43,601.880944
-1470.0,76,602.153237
-1376.0,48,602.310876
-1290.0,41,602.444836
-2216.0,248,603.271443
-1308.0,42,603.403608
-1228.0,32,603.502568
-1436.0,58,603.684094
-2014.0,129,604.118538
-1350.0,51,604.277258
-2000.0,131,604.689924
-2888.0,302,606.61775
-1566.0,73,606.85941
-1296.0,43,606.999485
-1462.0,75,607.24865
-1188.0,37,607.362007
-1306.0,43,607.504896
-1156.0,43,607.645325
-1276.0,38,607.76854
-1844.0,169,608.304099
-2006.0,158,608.795733
-1332.0,45,608.946367
-2232.0,165,609.458415
-2160.0,156,609.947243
-2164.0,194,610.58507
-1810.0,131,611.00525
-1292.0,45,611.145642
-2644.0,289,612.061676
-2224.0,179,612.645529
-1310.0,86,612.963897
-1478.0,62,614.120761
-1604.0,84,614.385071
-1494.0,74,614.629867
-2160.0,161,615.159868
-1710.0,91,615.444103
-2702.0,255,616.254585
-1570.0,76,616.487726
-1322.0,45,616.626366
-1358.0,47,616.771743
-2232.0,165,617.301942
-1668.0,92,617.591737
-1226.0,33,617.709263
-1368.0,57,617.895256
-1362.0,55,618.073604
-2070.0,136,618.497721
-1534.0,227,619.245967
-2432.0,225,619.955517
-1336.0,43,620.097908
-1348.0,57,620.278998
-1194.0,34,620.383775
-1542.0,70,621.579628
-2386.0,183,622.201715
-1228.0,37,622.321792
-1260.0,36,622.433962
-1880.0,111,622.792619
-1430.0,61,622.99347
-1288.0,37,623.112155
-2032.0,140,623.584956
-1594.0,79,623.830533
-1344.0,44,623.966948
-1766.0,98,624.288073
-2008.0,147,624.754672
-1424.0,54,624.926784
-2774.0,249,625.756221
-2412.0,200,626.425502
-1462.0,60,626.62018
-1194.0,29,626.714753
-1282.0,40,626.845706
-1240.0,41,626.980936
-1354.0,59,627.171841
-1196.0,28,627.270882
-1444.0,59,627.460315
-1770.0,126,627.884188
-1294.0,39,628.012119
-1160.0,41,628.144335
-1212.0,35,629.241435
-1210.0,46,629.405369
-1468.0,72,629.629853
-2042.0,160,630.140841
-3508.0,317,631.150408
-1300.0,41,631.276436
-2032.0,175,631.840825
-1256.0,38,631.964573
-1472.0,65,632.171375
-1258.0,37,632.28854
-1932.0,155,632.801801
-1690.0,131,633.208443
-1682.0,209,633.870633
-1926.0,218,634.58604
-1340.0,46,634.729731
-1318.0,42,634.860185
-2056.0,138,635.29533
-1724.0,124,635.69292
-2336.0,183,637.258333
-1338.0,47,637.401679
-1236.0,33,637.518947
-2502.0,210,638.169709
-1488.0,82,638.432277
-1754.0,104,638.766747
-1390.0,56,638.951369
-1624.0,99,639.267252
-1316.0,43,639.398077
-1286.0,48,639.554509
-2302.0,175,640.121183
-2166.0,148,640.590608
-1268.0,70,640.814244
-1300.0,46,640.955614
-4026.0,408,642.234375
-1224.0,39,642.354224
-1166.0,23,642.424718
-2206.0,183,643.003892
-1120.0,16,643.051804
-1234.0,34,643.174644
-2328.0,177,644.713449
-2510.0,206,645.354392
-1820.0,111,645.709852
-1616.0,108,646.052135
-1804.0,129,646.454498
-1478.0,62,646.656183
-2640.0,231,647.405199
-1400.0,51,647.566384
-1256.0,68,647.789937
-1870.0,141,648.241255
-1382.0,60,648.426319
-1386.0,53,648.597912
-1304.0,49,648.759182
-3714.0,354,649.936844
-1678.0,87,650.208968
-1448.0,62,650.3991
-1238.0,47,650.557596
-1336.0,43,650.692251
-3772.0,350,652.796534
-1964.0,134,653.265253
-1292.0,50,653.435665
-1476.0,63,653.635036
-1266.0,43,653.770914
-2248.0,162,654.294553
-2168.0,217,655.002448
-1410.0,91,655.311405
-1654.0,149,655.782125
-1472.0,65,655.992703
-1292.0,45,656.136837
-1814.0,139,656.571557
-2134.0,149,657.051298
-1212.0,35,657.163758
-2702.0,220,657.848637
-1414.0,59,658.059486
-1368.0,62,658.260666
-1272.0,35,658.372137
-2196.0,168,659.892839
-2326.0,198,660.526002
-1478.0,67,660.738019
-3138.0,272,661.6309
-2340.0,191,662.273026
-1634.0,89,662.559305
-1344.0,49,662.728302
-1990.0,141,663.189106
-2704.0,339,664.302036
-1284.0,39,664.4206
-2024.0,189,665.020125
-5120.0,596,667.936292
-1356.0,48,668.097198
-2412.0,180,668.674894
-1272.0,45,668.819596
-2780.0,251,669.616708
-1424.0,79,669.882635
-1286.0,43,670.024623
-2028.0,132,670.46114
-1618.0,82,670.732737
-1264.0,34,670.848881
-1628.0,97,671.181987
-1304.0,44,671.319677
-1310.0,41,671.452652
-2572.0,200,672.12244
-1552.0,75,672.386172
-1490.0,86,672.676518
-2006.0,158,673.208905
-1604.0,109,673.560614
-2914.0,254,675.3761
-1662.0,85,675.641726
-2630.0,206,676.307595
-1288.0,47,676.451993
-1398.0,82,676.738065
-1368.0,62,676.93934
-2300.0,191,677.562605
-1384.0,49,677.716655
-2420.0,196,678.345275
-1326.0,53,678.509134
-1204.0,29,678.600251
-3580.0,331,679.666841
-2966.0,408,680.9875
-1206.0,38,681.109513
-2102.0,140,682.549514
-1302.0,40,682.676478
-1360.0,51,682.839387
-1940.0,131,683.27262
-1446.0,58,683.462138
-1876.0,138,683.902572
-2190.0,166,684.434333
-1676.0,93,684.738759
-1226.0,33,684.843518
-1496.0,93,685.128694
-1484.0,64,685.32871
-1228.0,32,685.429269
-1122.0,35,685.548292
-1342.0,45,685.688756
-1528.0,67,685.901134
-2038.0,137,686.345273
-3136.0,293,687.345416
-2692.0,240,688.206209
-1896.0,158,689.020049
-3352.0,305,692.149514
-1340.0,46,692.300711
-1198.0,32,692.398916
-2086.0,153,692.899411
-2202.0,155,693.381279
-1726.0,103,693.729081
-1436.0,68,693.950852
-2314.0,169,694.475882
-1318.0,42,694.606103
-2378.0,232,695.353234
-1634.0,119,695.720347
-1310.0,41,695.860883
-2040.0,141,696.303791
-1530.0,76,696.539484
-2078.0,187,697.150747
-1292.0,45,697.290707
-3164.0,284,699.198991
-1388.0,52,699.358991
-1582.0,75,699.596556
-1434.0,69,699.823324
-2270.0,201,700.468707
-1986.0,128,700.865567
-1522.0,70,701.10358
-1272.0,40,701.228756
-1516.0,68,701.432818
-1284.0,39,701.553746
-1254.0,34,701.657399
-1256.0,38,701.786987
-2218.0,157,702.291612
-1400.0,56,702.464649
-1294.0,39,702.600478
-1204.0,39,702.734566
-1918.0,127,703.142656
-2966.0,313,704.130468
-1356.0,48,704.296782
-1260.0,36,704.408649
-1402.0,70,704.627048
-1418.0,57,704.808117
-1326.0,43,704.947185
-2060.0,171,705.487271
-1410.0,199,707.107992
-1382.0,50,707.267158
-4140.0,406,708.592317
-1298.0,42,708.724547
-1456.0,78,708.985321
-3436.0,308,709.965785
-1416.0,53,710.150966
-2560.0,236,710.882486
-1634.0,104,711.217179
-1584.0,74,711.443832
-1608.0,97,711.761914
-2536.0,233,712.499566
-1310.0,41,712.632602
-1952.0,120,713.015256
-2078.0,142,714.434298
-1360.0,71,714.653256
-1694.0,99,714.972091
-4046.0,463,716.47902
-1946.0,228,717.195492
-1850.0,126,717.59884
-1360.0,46,717.741355
-3454.0,369,718.905092
-3468.0,312,719.938096
-1934.0,119,720.32339
-3750.0,381,722.482533
-2340.0,176,723.098999
-1308.0,52,723.286141
-3434.0,369,724.472769
-1350.0,106,724.810727
-1794.0,109,725.156245
-1658.0,87,725.439487
-1624.0,104,725.763678
-2894.0,239,726.548686
-1328.0,47,726.698234
-1784.0,119,727.094245
-1230.0,31,727.193311
-3056.0,313,728.190406
-1312.0,45,729.280727
-2972.0,320,730.321258
-2634.0,264,731.185958
-1862.0,125,731.588845
-1264.0,44,731.729278
-1998.0,147,732.201087
-1244.0,44,732.34429
-1340.0,46,732.488674
-6250.0,721,734.841342
-2660.0,211,735.505703
-1302.0,40,735.641156
-4370.0,466,738.098977
-1438.0,57,738.27976
-1370.0,51,738.43613
-2014.0,144,738.905373
-2044.0,184,739.477097
-1702.0,90,739.760849
-1662.0,95,740.068742
-1340.0,46,740.213645
-1276.0,38,740.357712
-4734.0,539,742.097925
-1996.0,138,742.52458
-1356.0,48,742.674569
-1858.0,137,743.110694
-1192.0,40,743.244004
-3994.0,414,745.495284
-3928.0,477,747.004729
-1474.0,69,747.230444
-1600.0,76,747.468246
-2288.0,172,748.048806
-1286.0,48,748.201817
-1946.0,133,748.622749
-2998.0,262,749.49119
-1314.0,44,749.631831
-1498.0,67,749.854012
-2984.0,279,750.759174
-2004.0,129,752.185408
-3128.0,282,753.101617
-1318.0,42,753.232831
-6592.0,795,755.759516
-2574.0,199,756.402711
-3856.0,497,757.999652
-1776.0,108,758.35349
-4350.0,620,761.307649
-2806.0,253,762.131558
-2478.0,257,762.984938
-1242.0,35,763.093017
-2406.0,188,763.706787
-1640.0,86,763.976925
-2734.0,224,764.679103
-1694.0,94,764.976298
-1190.0,26,765.056412
-3236.0,293,765.990278
-1262.0,40,767.083121
-1284.0,39,767.206348
-1724.0,94,767.508839
-3782.0,380,768.71212
-2478.0,217,769.409617
-1310.0,41,769.538901
-1402.0,55,769.719311
-1242.0,50,769.87335
-3204.0,413,771.230333
-2486.0,203,771.878247
-2552.0,220,772.597015
-2624.0,209,773.408712
-1388.0,52,773.608533
-2928.0,252,775.81172
-2272.0,165,776.71838
-1400.0,56,777.078307
-1800.0,111,777.649708
-1896.0,123,778.283111
-1298.0,42,778.493001
-2472.0,195,779.122812
-2610.0,266,779.97822
-2770.0,241,780.747982
-1828.0,107,781.080354
-2518.0,237,781.837942
-1622.0,85,782.102843
-1514.0,89,782.389303
-2504.0,368,784.574728
-2486.0,218,785.269446
-1320.0,46,785.411918
-1556.0,88,785.6837
-1348.0,47,785.839491
-3074.0,314,786.822864
-3202.0,300,787.811857
-1382.0,60,788.007912
-1220.0,36,788.116877
-1718.0,92,788.400048
-4326.0,423,789.757492
-1510.0,66,789.975447
-1934.0,119,790.345604
-3290.0,311,792.347574
-1228.0,42,792.476725
-2324.0,179,793.068243
-1284.0,39,793.189682
-1476.0,68,793.398837
-1704.0,89,793.701986
-1792.0,150,794.178515
-1366.0,48,794.325265
-1296.0,38,794.454922
-3306.0,333,795.550189
-1614.0,104,795.883028
-3244.0,424,797.245511
-1530.0,71,797.468983
-1314.0,44,797.608582
-1894.0,124,799.149998
-2768.0,252,799.937274
-2176.0,158,800.44247
-1456.0,63,800.637667
-1880.0,141,801.091535
-1718.0,92,801.389935
-1336.0,43,801.531178
-3078.0,272,802.407032
-1884.0,124,802.809848
-1748.0,102,803.121145
-2598.0,212,803.805677
-1448.0,107,804.13807
-1510.0,71,804.386901
-1970.0,136,804.80796
-1474.0,69,805.02625
-1870.0,126,805.426557
-1254.0,34,805.547021
-1910.0,131,806.919228
-1396.0,53,807.087065
-2498.0,227,807.832486
-1736.0,93,808.132379
-1416.0,68,808.354392
-1884.0,124,808.752266
-1666.0,88,809.035438
-2314.0,174,809.58514
-1502.0,95,809.912857
-1468.0,67,810.125831
-3188.0,392,811.389976
-3374.0,309,812.384729
-1854.0,114,812.761317
-4390.0,511,815.375493
-2412.0,180,815.956411
-5738.0,627,818.012188
-1574.0,79,818.266451
-3646.0,398,819.720784
-1368.0,52,819.997887
-1400.0,56,820.320791
-1276.0,38,820.525795
-4334.0,424,823.852934
-2396.0,233,824.602319
-1270.0,41,824.731325
-2340.0,196,825.39922
-2006.0,138,825.848734
-2618.0,302,826.836303
-3282.0,330,827.898591
-1304.0,49,828.053427
-2252.0,175,828.597077
-1302.0,40,828.726294
-4100.0,396,831.016495
-4142.0,460,832.518644
-1384.0,54,832.695252
-1724.0,94,833.00631
-2926.0,258,833.865419
-1812.0,175,834.416702
-1412.0,55,834.585294
-5944.0,644,836.647266
-5796.0,668,839.832717
-1900.0,121,840.229153
-3494.0,319,841.274069
-2830.0,236,842.022115
-3246.0,293,842.971934
-1924.0,194,843.598194
-2152.0,245,844.388622
-1684.0,89,844.664381
-6382.0,864,848.469642
-1176.0,48,848.635911
-2194.0,174,849.183494
-1850.0,111,849.537081
-1222.0,35,849.648112
-1694.0,99,849.967154
-1796.0,133,850.402739
-1068.0,12,850.440859
-1610.0,96,850.748961
-3072.0,340,851.855899
-2896.0,343,853.929638
-3144.0,284,854.838928
-4412.0,495,856.450612
-1314.0,44,856.588161
-2532.0,265,857.439386
-2400.0,191,858.055776
-3544.0,344,859.186203
-1232.0,45,859.339918
-1340.0,51,859.507953
-1864.0,184,860.079429
-1806.0,108,860.412116
-1234.0,34,861.473413
-2018.0,162,862.002411
-2048.0,132,862.409991
-1264.0,49,862.576414
-1308.0,47,862.72724
-1876.0,113,863.079295
-2236.0,178,863.667854
-1786.0,173,864.220473
-3000.0,276,865.089072
-3502.0,415,866.401341
-4952.0,610,869.321014
-4924.0,559,871.130147
-1308.0,42,871.260345
-3048.0,292,872.219157
-2450.0,251,873.00683
-1812.0,125,873.388872
-1518.0,72,873.620885
-3398.0,402,874.932404
-5984.0,659,878.000436
-1580.0,91,878.294496
-3556.0,428,879.622064
-3358.0,387,880.870547
-2244.0,159,881.382971
-4572.0,500,883.962772
-4070.0,564,885.769974
-1864.0,129,886.188957
-1528.0,102,886.507759
-1650.0,86,886.779249
-12238.0,1672,893.199712
-1238.0,32,893.303862
-2814.0,329,894.353635
-1882.0,160,894.84751
-1758.0,192,895.46455
-7644.0,1014,899.684184
-2520.0,206,900.367669
-3078.0,267,901.214863
-1402.0,55,901.392302
-1632.0,85,901.664429
-2400.0,201,902.316394
-1268.0,37,902.442143
-3758.0,372,903.623611
