#{"t_start": 1658422774.1500745, "env_id": "A1GymEnv-v1"}
r,l,t
-1078.0,12,21.006249
-1056.0,8,21.033863
-1070.0,11,21.068621
-1054.0,9,21.09673
-1040.0,6,21.116171
-1112.0,15,21.16338
-1140.0,21,21.227796
-1104.0,14,21.269609
-1200.0,26,21.35069
-1048.0,7,21.380503
-1088.0,12,21.419262
-1032.0,5,21.436542
-1136.0,18,21.495092
-1046.0,8,21.52059
-1040.0,6,21.539905
-1032.0,5,21.555976
-1048.0,7,21.578035
-1056.0,8,21.602891
-1198.0,27,21.685274
-1048.0,7,21.707417
-1072.0,10,21.739018
-1040.0,6,21.760722
-1040.0,6,21.782812
-1048.0,7,21.805377
-1080.0,11,21.842365
-1032.0,5,21.858917
-1096.0,13,21.899652
-1064.0,9,21.928384
-1062.0,10,21.959228
-1040.0,6,21.978574
-1046.0,8,22.002778
-1048.0,7,22.044305
-1112.0,15,22.090256
-1032.0,5,22.106549
-1056.0,8,22.138296
-1070.0,11,22.173761
-1096.0,13,22.21465
-1082.0,20,22.276207
-1084.0,14,22.318375
-1064.0,9,22.346349
-1046.0,8,22.370853
-1030.0,6,22.389819
-1048.0,7,22.411618
-1120.0,16,22.461185
-1088.0,12,23.451447
-1086.0,13,23.492772
-1056.0,8,23.518955
-1152.0,20,23.580856
-1104.0,14,23.624233
-1156.0,23,23.693856
-1070.0,11,23.727747
-1024.0,4,23.740606
-1200.0,31,23.834512
-1056.0,8,23.865007
-1080.0,11,23.901105
-1040.0,6,23.920524
-1134.0,19,23.977031
-1056.0,8,24.005983
-1224.0,34,24.117621
-1048.0,7,24.144678
-1064.0,9,24.172523
-1038.0,7,24.194258
-1062.0,10,24.225366
-1032.0,5,24.242
-1032.0,5,24.258489
-1064.0,9,24.286283
-1100.0,16,24.337834
-1118.0,27,24.422164
-1040.0,6,24.441724
-1104.0,14,24.484441
-1036.0,8,24.509988
-1098.0,17,24.562544
-1056.0,8,24.58898
-1136.0,23,24.659889
-1056.0,8,24.685215
-1032.0,5,24.701566
-1104.0,14,24.744758
-1046.0,8,24.769899
-1056.0,8,24.799594
-1168.0,22,24.86853
-1064.0,9,24.896279
-1120.0,16,24.943865
-1088.0,12,24.979688
-1056.0,8,25.004278
-1040.0,6,25.023058
-1088.0,12,25.059435
-1024.0,4,25.076519
-1048.0,7,25.103847
-1090.0,16,25.153505
-1136.0,18,25.206266
-1030.0,6,25.22531
-1080.0,11,25.258803
-1080.0,11,25.292257
-1038.0,7,25.313717
-1080.0,11,25.347249
-1040.0,6,25.366083
-1032.0,5,25.381812
-1070.0,11,25.415531
-1064.0,9,25.443815
-1072.0,10,25.473967
-1134.0,19,25.531081
-1048.0,7,25.552672
-1192.0,25,25.628592
-1048.0,7,25.650298
-1062.0,10,25.680368
-1062.0,10,25.711857
-1046.0,8,25.73764
-1040.0,6,25.756276
-1096.0,13,25.796028
-1016.0,3,25.806128
-1064.0,9,25.835758
-1080.0,11,25.872216
-1008.0,2,25.879499
-1150.0,21,25.943144
-1016.0,3,25.953292
-1110.0,16,26.00162
-1048.0,7,26.024696
-1064.0,9,26.053871
-1022.0,5,26.070377
-1072.0,10,26.110615
-1152.0,20,26.187954
-1056.0,8,26.21455
-1032.0,5,26.231947
-1048.0,7,26.254971
-1080.0,11,26.291588
-1076.0,13,26.334444
-1126.0,18,26.392802
-1030.0,6,26.413329
-1048.0,7,26.436769
-1072.0,10,26.468702
-1064.0,9,26.498385
-1040.0,6,26.518544
-1040.0,6,26.538599
-1038.0,7,26.561266
-1160.0,21,26.62659
-1158.0,27,26.712881
-1080.0,11,26.749744
-1032.0,5,26.767534
-1064.0,9,26.796835
-1160.0,21,26.864891
-1048.0,7,26.888553
-1072.0,10,26.925047
-1118.0,17,26.977915
-1056.0,8,27.002721
-1066.0,13,27.043229
-1272.0,40,27.183529
-1230.0,31,27.28386
-1048.0,7,27.306165
-1016.0,3,27.316308
-1102.0,15,27.363231
-1104.0,14,27.406617
-1056.0,8,27.43306
-1062.0,10,27.464783
-1032.0,5,27.482541
-1046.0,8,27.508659
-1096.0,13,27.5503
-1038.0,7,27.57341
-1048.0,7,27.596343
-1078.0,12,27.636343
-1070.0,11,27.670846
-1062.0,10,27.702431
-1024.0,4,27.71536
-1160.0,21,27.785115
-1112.0,15,27.834534
-1022.0,5,27.852133
-1072.0,10,27.884533
-1008.0,2,27.891757
-1122.0,20,27.961629
-1170.0,26,28.042665
-1036.0,8,28.069268
-1188.0,27,28.166859
-1048.0,7,28.191865
-1056.0,8,28.218541
-1048.0,7,28.240854
-1048.0,7,28.263258
-1048.0,7,28.285485
-1040.0,6,28.304868
-1070.0,11,28.340558
-1032.0,5,28.357305
-1040.0,6,28.376866
-1078.0,12,28.413325
-1062.0,10,28.450512
-1032.0,5,28.467077
-1016.0,3,28.477058
-1056.0,8,28.51886
-1054.0,9,28.566791
-1016.0,3,28.586082
-1080.0,11,28.6443
-1054.0,9,28.691035
-1048.0,7,28.729434
-1048.0,7,28.766711
-1056.0,8,28.811336
-1032.0,5,28.840425
-1038.0,7,28.876451
-1176.0,23,28.991979
-1040.0,6,29.022866
-1070.0,11,29.077991
-1046.0,8,29.11909
-1112.0,15,29.197178
-1040.0,6,29.235644
-1024.0,4,29.257093
-1116.0,18,29.34803
-1032.0,5,29.374093
-1072.0,10,29.423507
-1072.0,10,29.475426
-1078.0,12,29.540889
-1102.0,15,29.618784
-1078.0,12,29.683574
-1038.0,7,29.723606
-1192.0,30,29.890191
-1070.0,11,29.950265
-1064.0,9,29.998383
-1048.0,7,30.036466
-1046.0,8,30.087531
-1112.0,15,30.166451
-1056.0,8,30.208317
-1064.0,9,30.255919
-1164.0,34,30.434184
-1144.0,19,30.528299
-1086.0,18,30.618985
-1080.0,11,30.676128
-1096.0,13,30.743412
-1064.0,9,30.790621
-1096.0,13,30.857176
-1110.0,16,30.940673
-1068.0,12,31.002144
-1016.0,3,31.017963
-1032.0,5,31.042912
-1046.0,8,32.461635
-1048.0,7,32.483745
-1056.0,8,32.508233
-1064.0,9,32.535639
-1086.0,13,32.576397
-1124.0,19,32.637007
-1040.0,6,32.655641
-1040.0,6,32.673848
-1064.0,9,32.701003
-1040.0,6,32.719587
-1344.0,44,32.853577
-1016.0,3,32.864817
-1040.0,6,32.883102
-1072.0,10,32.916529
-1056.0,8,32.941751
-1056.0,8,32.96655
-1056.0,8,32.990947
-1102.0,15,33.036407
-1056.0,8,33.061204
-1088.0,12,33.097609
-1016.0,3,33.10752
-1024.0,4,33.121146
-1024.0,4,33.134167
-1024.0,4,33.148762
-1076.0,13,33.188937
-1112.0,15,33.233986
-1048.0,7,33.255645
-1056.0,8,33.280172
-1144.0,19,33.347228
-1080.0,11,33.381854
-1064.0,9,33.408811
-1146.0,23,33.478569
-1024.0,4,33.492087
-1056.0,8,33.517141
-1120.0,16,33.566625
-1060.0,11,33.601779
-1132.0,20,33.666686
-1024.0,4,33.681616
-1158.0,22,33.753502
-1038.0,7,33.775265
-1048.0,7,33.797782
-1088.0,12,33.836931
-1080.0,11,33.87373
-1040.0,6,33.893236
-1032.0,5,33.909231
-1048.0,7,33.931838
-1046.0,8,33.956822
-1086.0,13,33.995226
-1104.0,14,34.037011
-1052.0,10,34.06835
-1016.0,3,34.07852
-1064.0,9,34.105894
-1054.0,9,34.13422
-1040.0,6,34.154809
-1072.0,10,34.185137
-1016.0,3,34.194906
-1016.0,3,34.204681
-1056.0,8,34.228573
-1080.0,11,34.261887
-1184.0,29,34.349558
-1024.0,4,34.369331
-1016.0,3,34.379143
-1038.0,7,34.400558
-1072.0,10,34.431471
-1040.0,6,34.450217
-1040.0,6,34.468805
-1064.0,9,34.496533
-1080.0,11,34.530945
-1048.0,7,34.553215
-1070.0,11,34.58804
-1032.0,5,34.603721
-1072.0,10,34.634711
-1136.0,18,34.689502
-1038.0,7,34.711732
-1064.0,9,34.742776
-1052.0,10,34.773843
-1080.0,11,34.807485
-1080.0,11,34.841772
-1048.0,7,34.868353
-1150.0,21,34.938595
-1200.0,26,35.037116
-1040.0,6,35.058367
-1032.0,5,35.076977
-1016.0,3,35.087719
-1056.0,8,35.112855
-1096.0,13,35.155262
-1030.0,6,35.174283
-1070.0,11,35.20852
-1064.0,9,35.236283
-1146.0,23,35.305067
-1088.0,12,35.342379
-1056.0,8,35.369234
-1024.0,4,35.388709
-1024.0,4,35.401292
-1096.0,13,35.441111
-1168.0,22,35.507095
-1032.0,5,35.52293
-1144.0,19,35.581289
-1032.0,5,35.59737
-1046.0,8,35.622823
-1064.0,9,35.65085
-1080.0,11,35.684908
-1144.0,19,35.741358
-1052.0,10,35.771679
-1096.0,13,35.809999
-1096.0,13,35.848754
-1056.0,8,35.874969
-1072.0,10,35.904948
-1032.0,5,35.92304
-1072.0,10,35.952805
-1200.0,31,36.044357
-1096.0,13,36.08462
-1136.0,18,36.137809
-1150.0,21,36.202215
-1160.0,21,36.265411
-1104.0,19,36.321141
-1022.0,5,36.336477
-1032.0,5,36.351331
-1116.0,18,36.414578
-1064.0,9,36.442562
-1094.0,14,36.4856
-1040.0,6,36.504566
-1196.0,33,36.603171
-1070.0,11,36.637296
-1088.0,12,36.674563
-1072.0,10,36.704385
-1094.0,14,36.746809
-1072.0,10,36.777524
-1040.0,6,36.796573
-1040.0,6,36.81606
-1136.0,18,36.875189
-1152.0,25,36.950527
-1052.0,10,36.981517
-1052.0,10,37.011612
-1120.0,16,37.059563
-1038.0,7,37.081793
-1056.0,8,37.106126
-1108.0,17,37.161808
-1064.0,9,37.189504
-1096.0,18,37.242596
-1046.0,8,37.266946
-1070.0,11,37.299792
-1024.0,4,37.312384
-1016.0,3,37.322048
-1040.0,6,37.34004
-1048.0,7,37.361832
-1056.0,8,37.387132
-1046.0,8,37.416055
-1094.0,14,37.466627
-1160.0,21,37.529691
-1024.0,4,37.543116
-1098.0,17,37.595222
-1116.0,18,37.650656
-1024.0,4,37.664435
-1056.0,8,37.689986
-1078.0,12,37.73433
-1144.0,19,37.79913
-1246.0,33,37.904222
-1016.0,3,37.914485
-1110.0,16,37.963106
-1108.0,17,38.015482
-1032.0,5,38.031448
-1088.0,12,38.067645
-1082.0,15,38.113812
-1106.0,18,38.181255
-1046.0,8,38.206108
-1106.0,18,38.259956
-1120.0,16,38.307362
-1118.0,17,38.358835
-1048.0,7,38.381218
-1068.0,12,38.417667
-1114.0,19,38.485339
-1046.0,8,38.510934
-1088.0,12,38.548559
-1072.0,10,38.580607
-1072.0,10,38.612201
-1040.0,6,38.631774
-1120.0,16,38.681565
-1040.0,6,38.70065
-1070.0,11,38.733845
-1054.0,9,38.761953
-1072.0,10,38.792793
-1070.0,11,38.82637
-1064.0,9,38.854355
-1088.0,12,38.892192
-1200.0,31,39.987668
-1030.0,6,40.006488
-1016.0,3,40.016627
-1094.0,14,40.059802
-1160.0,26,40.138892
-1046.0,8,40.166823
-1114.0,19,40.224863
-1048.0,7,40.247259
-1100.0,16,40.295302
-1062.0,10,40.326064
-1032.0,5,40.342119
-1040.0,6,40.360521
-1032.0,5,40.376148
-1056.0,8,40.40141
-1136.0,18,40.456236
-1144.0,19,40.523148
